2632.23582125949,1427.70768924432,1
2391.19475152958,1271.38292660838,1
2055.66152137245,1050.01228587042,1
2044.75736540303,1042.81638536683,1
1812.89230138516,879.51140708462,1
1713.67956893289,794.177635035803,1
1678.23570912428,763.689624732413,1
1634.54261260094,713.093055779657,1
1593.97092842538,640.771284898789,1
1577.68437739088,609.122450506244,1
1536.89982073474,529.839737787311,1
1466.00530427808,425.114059202379,1
1379.95069127118,324.831893240584,1
1338.9359179034,287.59377151193,1
1324.67995246902,274.645273598168,1
1298.06614576891,250.477748772249,1
1298.06614576891,250.477748772249,2
1286.46373037112,239.946048874591,2
1224.65483676113,183.817838353407,2
1199.19311574484,160.692628876384,2
1175.82325192813,139.474246758806,2
1149.94487593608,115.972230532345,2
1132.19217360806,99.8534295667678,2
1112.45397629053,81.9276714029062,2
1104.81243816425,74.9879629397039,2
909.808962507477,-98.403623680957,2
909.808962507477,-98.403623680957,3
879.677522287006,-125.197480268753,3
862.011000843401,-138.378429343341,3
838.378214816918,-157.767167792473,3
762.25897500909,-223.426616845423,3
725.365817801065,-250.05424438617,3
707.698390753829,-254.965845911561,3
679.898686389842,-252.905830855784,3
638.334414615884,-243.852161674418,3
605.33296464519,-236.881782681719,3
584.807625467632,-233.524239689748,3
568.699434518379,-234.30098778404,3
552.330003948786,-241.01906497684,3
533.365151269286,-258.600138346118,3
418.800594323779,-382.940812491559,3
368.665465010675,-430.373511711279,3
328.119042147805,-461.932580576412,3
306.567155027884,-478.582231388305,3
-659.938088156642,-151.760121651332,4
-681.810518966225,-168.995350696584,4
-798.842994861762,-224.144547588627,4
-827.235018885131,-246.688543581182,4
-827.235018885131,-246.688543581182,5
-894.762190337544,-300.299514689511,5
-894.762190337544,-300.299514689511,6
-902.211453748534,-306.473033523269,6
-902.211453748534,-306.473033523269,7
-1075.07734215338,-449.659577427414,7
-1129.06432414296,-494.369492384118,7
-1221.60573698797,-554.64885719012,7
-1246.55033658117,-570.896114750181,7
-1278.24703498888,-591.543129355676,7
-1285.27031089282,-596.12026035535,7
-1330.72282144898,-622.939655804182,7
-1543.14740807791,-748.301259094739,7
-1577.44092471937,-767.062688907735,7
-894.762190337544,-300.299514689511,8
-955.860822549054,-270.077897533708,8
-982.585142187782,-268.701102665407,8
-982.585142187782,-268.701102665407,9
-996.697981986944,-267.968276449136,9
-1100.17907245395,-294.572710360558,9
-1215.34258695846,-323.303172556358,9
-1296.58412274972,-343.578880854552,9
-1322.37872845804,-342.556091707425,9
-1338.48703525623,-341.91127770189,9
-1349.38411518477,-341.477674996404,9
-1405.69786041228,-320.454393045756,9
